Species,SRM,CPS,Sensitivity,Offset
,ppm,,CPS/ppm,CPS
Time in Seconds ,,,1,0
Ba137,146.67,12981.60069,59.29671326,3798.328185
Ba138,146.67,77020.44677,462.9684414,11778.84913
Ba136,146.67,8871.842023,55.13623896,975.0932834
Ca44,380000,1626908.261,4.365434204,1118.860786
Ca46,380000,3995.365402,0.013461599,26.96078034
Ca43,380000,120452.1043,0.318240091,12.12163009
Sr87,210,10432.84065,37.24619585,1764.424172
Sr86,210,14553.42933,52.03900027,2530.540626
Sr88,210,118461.9563,449.0815397,16065.94341
Mg24,20,6119.644746,107.9656399,2736.034781
Mg25,20,748.0473982,16.37270533,286.8514779
Mg26,20,1049.923712,22.08031806,412.0378215
